SampleID,Location,Country,Species,Source,Lat_N,Lon_E,IlluminaName,RunID
HO_CY_Ro_10,Cyrene,Singapore,Halophila ovalis,Root,1.258905,103.754918,AFI1270,MUX8041
HO_CY_Soil_01,Cyrene,Singapore,Halophila ovalis,Soil,1.258905,103.754918,AFI1271,MUX8041
HO_CY_Soil_02,Cyrene,Singapore,Halophila ovalis,Soil,1.258905,103.754918,AFI1272,MUX8041
HO_CY_Soil_03,Cyrene,Singapore,Halophila ovalis,Soil,1.258905,103.754918,AFI1273,MUX8041
HO_CY_Soil_04,Cyrene,Singapore,Halophila ovalis,Soil,1.258905,103.754918,AFI1274,MUX8041
HO_CY_Soil_05,Cyrene,Singapore,Halophila ovalis,Soil,1.258905,103.754918,AFI1275,MUX8041
HO_CY_Soil_06,Cyrene,Singapore,Halophila ovalis,Soil,1.258905,103.754918,AFI1276,MUX8041
HO_CY_Soil_07,Cyrene,Singapore,Halophila ovalis,Soil,1.258905,103.754918,AFI1277,MUX8041
HO_CY_Soil_08,Cyrene,Singapore,Halophila ovalis,Soil,1.258905,103.754918,AFI1278,MUX8041
HO_CY_Soil_09,Cyrene,Singapore,Halophila ovalis,Soil,1.258905,103.754918,AFI1279,MUX8041
HO_CY_Soil_10,Cyrene,Singapore,Halophila ovalis,Soil,1.258905,103.754918,AFI1280,MUX8041
HO_Sent_Le_01,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229,AFI1281,MUX8041
HO_Sent_Le_02,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229,AFI1282,MUX8041
HO_Sent_Le_03,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229,AFI1283,MUX8041
HO_Sent_Le_04,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229,AFI1284,MUX8041
HO_Sent_Le_05,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229,AFI1285,MUX8041
HO_Sent_Le_06,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229,AFI1286,MUX8041
HO_Sent_Le_07,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229,AFI1287,MUX8041
HO_Sent_Le_08,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229,AFI1288,MUX8041
HO_Sent_Le_09,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229,AFI1289,MUX8041
HO_Sent_Le_10,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229,AFI1290,MUX8041
HO_Sent_Rh_01,Sentosa,Singapore,Halophila ovalis,Rhizome,1.258297,103.807229,AFI1291,MUX8041
HO_Sent_Rh_02,Sentosa,Singapore,Halophila ovalis,Rhizome,1.258297,103.807229,AFI1292,MUX8041
HO_Sent_Rh_03,Sentosa,Singapore,Halophila ovalis,Rhizome,1.258297,103.807229,AFI1293,MUX8041
HO_Sent_Rh_04,Sentosa,Singapore,Halophila ovalis,Rhizome,1.258297,103.807229,AFI1294,MUX8041
HO_Sent_Rh_05,Sentosa,Singapore,Halophila ovalis,Rhizome,1.258297,103.807229,AFI1295,MUX8041
HO_BLANK_02,Blank,Blank,Blank,Blank,1.258297,103.807229,AFI1296,MUX8041
HO_Sent_Rh_06,Sentosa,Singapore,Halophila ovalis,Rhizome,1.258297,103.807229,AFI1297,MUX8041
HO_Sent_Rh_07,Sentosa,Singapore,Halophila ovalis,Rhizome,1.258297,103.807229,AFI1298,MUX8041
HO_Sent_Rh_08,Sentosa,Singapore,Halophila ovalis,Rhizome,1.258297,103.807229,AFI1299,MUX8041
HO_Sent_Rh_09,Sentosa,Singapore,Halophila ovalis,Rhizome,1.258297,103.807229,AFI1300,MUX8041
HO_Sent_Rh_10,Sentosa,Singapore,Halophila ovalis,Rhizome,1.258297,103.807229,AFI1301,MUX8041
HO_Sent_Ro_01,Sentosa,Singapore,Halophila ovalis,Root,1.258297,103.807229,AFI1302,MUX8041
HO_Sent_Ro_02,Sentosa,Singapore,Halophila ovalis,Root,1.258297,103.807229,AFI1303,MUX8041
HO_Sent_Ro_03,Sentosa,Singapore,Halophila ovalis,Root,1.258297,103.807229,AFI1304,MUX8041
HO_Sent_Ro_04,Sentosa,Singapore,Halophila ovalis,Root,1.258297,103.807229,AFI1305,MUX8041
HO_Sent_Ro_05,Sentosa,Singapore,Halophila ovalis,Root,1.258297,103.807229,AFI1306,MUX8041
HO_Sent_Ro_06,Sentosa,Singapore,Halophila ovalis,Root,1.258297,103.807229,AFI1307,MUX8041
HO_Sent_Ro_07,Sentosa,Singapore,Halophila ovalis,Root,1.258297,103.807229,AFI1308,MUX8041
HO_Sent_Ro_08,Sentosa,Singapore,Halophila ovalis,Root,1.258297,103.807229,AFI1309,MUX8041
HO_Sent_Ro_09,Sentosa,Singapore,Halophila ovalis,Root,1.258297,103.807229,AFI1310,MUX8041
HO_Sent_Ro_10,Sentosa,Singapore,Halophila ovalis,Root,1.258297,103.807229,AFI1311,MUX8041
HO_Sent_Soil_01,Sentosa,Singapore,Halophila ovalis,Soil,1.258297,103.807229,AFI1312,MUX8041
HO_Sent_Soil_02,Sentosa,Singapore,Halophila ovalis,Soil,1.258297,103.807229,AFI1313,MUX8041
HO_Sent_Soil_03,Sentosa,Singapore,Halophila ovalis,Soil,1.258297,103.807229,AFI1314,MUX8041
HO_Sent_Soil_04,Sentosa,Singapore,Halophila ovalis,Soil,1.258297,103.807229,AFI1315,MUX8041
HO_Sent_Soil_05,Sentosa,Singapore,Halophila ovalis,Soil,1.258297,103.807229,AFI1316,MUX8041
HO_Sent_Soil_06,Sentosa,Singapore,Halophila ovalis,Soil,1.258297,103.807229,AFI1317,MUX8041
HO_Sent_Soil_07,Sentosa,Singapore,Halophila ovalis,Soil,1.258297,103.807229,AFI1318,MUX8041
